epoch,training_accuracy,validation_accuracy,training_loss,validation_loss
0,0.736736128,0.742187502,0.531429481,0.52734766
1,0.809722245,0.818750024,0.412027248,0.378437767
2,0.856333313,0.876875012,0.346916263,0.335131471
3,0.87775,0.875,0.315537801,0.315022512
4,0.889586093,0.898874988,0.290710231,0.301023777
5,0.892152755,0.856949024,0.284880198,0.375201373
6,0.894402779,0.887250119,0.287066126,0.316715821
7,0.901263896,0.901125012,0.268457142,0.287959181
8,0.895611093,0.895750012,0.259625444,0.278716179
9,0.903471971,0.908625024,0.251724372,0.254735227
