epoch,training_accuracy,validation_accuracy,training_loss,validation_loss
0,0.625,0.691375,0.9460146498680115,0.6090302157402039
1,0.7651565465165565,0.7716125,0.4626063227653503,0.5150626397132874
2,0.8259375,0.813125,0.3984228444099426,0.4875051760673523
3,0.8479166626930237,0.813125,0.3769905173778534,0.4744101440906524
4,0.835,0.813125,0.3501213288307195,0.4462569451332092
5,0.8763020634651184,0.81156513125,0.3267961475849151,0.4372673118114471
6,0.8705722093582153,0.797453125,0.3220922446250915,0.4029398560523987
7,0.8828125,0.846615,0.3210796579837799,0.3892180228233337
8,0.8802083134651184,0.82773,0.2953295409679413,0.3712386679649353
9,0.887248415,0.82773,0.2847020699977875,0.3972221899032593
